UsageDate,ServiceName,Region,ProjectTag,CostINR
2023-01-01,RDS/Database,us-west-2,Project:Production,1005.19
2023-01-01,S3/Storage,us-west-2,Project:Staging,306.9
2023-01-01,EC2/Compute,us-east-1,Project:Development,1054.25
2023-01-01,VPC/Networking,us-east-1,Project:Production,211.47
2023-01-02,RDS/Database,eu-west-1,Project:Marketing,1239.78
2023-01-02,EBS/Storage,ap-southeast-1,Project:Development,369.16
2023-01-02,CloudFront/CDN,ap-southeast-1,Project:Development,725.44
2023-01-02,EC2/Compute,ap-southeast-1,Project:Development,1377.18
2023-01-02,Lambda/Functions,ap-southeast-1,Project:Finance,183.62
2023-01-02,ElastiCache/Cache,us-west-2,Project:Finance,220.35
2023-01-03,VPC/Networking,us-east-1,Project:Analytics,229.82
2023-01-03,EBS/Storage,us-west-2,Project:Marketing,169.61
2023-01-03,Lambda/Functions,eu-west-1,Project:Development,172.48
2023-01-03,S3/Storage,us-east-1,Project:Testing,221.91
2023-01-03,EC2/Compute,eu-west-1,Project:Testing,1655.03
2023-01-04,Lambda/Functions,us-east-1,Project:Staging,145.71
2023-01-04,EBS/Storage,eu-west-1,Project:Analytics,350.74
2023-01-04,ElastiCache/Cache,us-west-2,Project:Finance,180.99
2023-01-04,RDS/Database,ap-south-1,Project:Staging,894.34
2023-01-05,S3/Storage,us-east-1,Project:Development,396.9
2023-01-05,Lambda/Functions,us-west-2,Project:Backup,184.14
2023-01-05,EBS/Storage,us-west-2,Project:Marketing,210.42
2023-01-05,EC2/Compute,ap-southeast-1,Project:Analytics,1348.77
2023-01-05,VPC/Networking,ap-southeast-1,Project:Analytics,355.55
2023-01-05,RDS/Database,us-west-2,Project:Analytics,670.1
2023-01-06,CloudFront/CDN,eu-west-1,Project:Development,534.95
2023-01-06,VPC/Networking,us-east-1,Project:Marketing,221.18
2023-01-06,RDS/Database,ap-south-1,Project:Staging,965.12
2023-01-06,Lambda/Functions,us-west-2,Project:Production,165.83
2023-01-06,ElastiCache/Cache,us-west-2,Project:Backup,695.07
2023-01-06,EC2/Compute,eu-west-1,Project:Testing,1708.23
2023-01-07,ElastiCache/Cache,ap-south-1,Project:Development,163.44
2023-01-07,RDS/Database,ap-southeast-1,Project:Development,536.14
2023-01-07,EC2/Compute,eu-west-1,Project:Staging,1599.59
2023-01-08,Lambda/Functions,ap-southeast-1,Project:Finance,69.72
2023-01-08,RDS/Database,ap-south-1,Project:Testing,878.93
2023-01-08,S3/Storage,ap-south-1,Project:Analytics,189.94
2023-01-08,VPC/Networking,ap-south-1,Project:Staging,191.77
2023-01-09,RDS/Database,us-west-2,Project:Marketing,1011.55
2023-01-09,S3/Storage,ap-south-1,Project:Staging,260.92
2023-01-09,ElastiCache/Cache,us-east-1,Project:Development,245.91
2023-01-09,CloudFront/CDN,us-west-2,Project:Testing,481.63
2023-01-09,EC2/Compute,us-east-1,Project:Finance,1629.44
2023-01-09,EBS/Storage,us-east-1,Project:Staging,385.62
2023-01-10,EC2/Compute,us-west-2,Project:Marketing,873.98
2023-01-10,VPC/Networking,eu-west-1,Project:Development,329.3
2023-01-10,EBS/Storage,ap-southeast-1,Project:Backup,266.99
2023-01-10,S3/Storage,us-west-2,Project:Backup,424.27
2023-01-10,ElastiCache/Cache,us-east-1,Project:Development,207.43
2023-01-10,Lambda/Functions,us-east-1,Project:Analytics,123.14
2023-01-11,ElastiCache/Cache,us-east-1,Project:Production,253.46
2023-01-11,CloudFront/CDN,us-west-2,Project:Testing,432.86
2023-01-11,EBS/Storage,ap-south-1,Project:Production,294.3
2023-01-12,VPC/Networking,us-east-1,Project:Production,282.15
2023-01-12,EC2/Compute,eu-west-1,Project:Staging,1235.42
2023-01-12,ElastiCache/Cache,ap-south-1,Project:Backup,289.11
2023-01-12,S3/Storage,ap-south-1,Project:Production,360.64
